	ENGLISH	PART OF SPEECH	ODIA	INPUT
33	abdominal	Adj	ପେଟ ସଂବଧିତ	a
34	abduct	V	ଉଠେଇ ନେବା	a
35	abduction	Ns	ଫୁସୁଲେଇ ବା ଧମକେଇ ଉଠେଇନେବା	a
36	aberrant	Adj	ଅସାମାନ୍ୟ	a
37	aberration	Ns	ବୁଦ୍ଧିଭ୍ରଷ୍ଟ	a
38	abet	VT	କୁକର୍ମ ପାଇଁ ପ୍ରରୋଚନା କୁମନ୍ତ୍ରଣା	a
39	abeyance	Ns	କ୍ଷଣିକ ବିରାମ	a
40	abhor	VT	ଘୃଣା କରିବା	a
41	abhorrence	Ns	ଘୃଣା	a
42	abhorrent	Adj	ଘୃଣିତ	a
43	abide	V	ସହିବା	a
44	ability	Ns	ଯୋଗ୍ୟତା	a
45	abject	Adj	ବହୁତ ବେଶି	a
46	abjure	V	ଛାଡି ଦେବା	a
47	ablaze	Adj	ଜଳି ଯାଇଥିବା	a
48	able	Adj	ସମର୍ଥ	a
49	ablutions	Ns	ଧୋଇବା	a
50	abnormal	Adj	ଅସାମାନ୍ୟ	a
51	aboard	Adv	ଜାହାଜରେ	a
52	abode	Ns	ଘର	a
53	abolish	VT	ଉଚ୍ଛେଦ କରିବା ଉଠେଇ ଦେବା	a
54	abolition	Ns	ଲୋପ	a
55	abominable	Adj	ଘୃଣିତ	a
56	abomination	Ns	ଘୃଣଆ	a
57	aboriginal	Adj	ଆଦିମ	a
58	aborigines	Ns	ପ୍ରାଚୀନ ଦେଶବାସୀ	a
59	abort	VI	ଗର୍ଭପାତ ହେବା	a
60	abortion	Ns	ଗର୍ଭପାତ	a
61	abortionist	Ns	ଗର୍ଭପାତ କରାଉଥିବା	a
62	abortive	Adj	ନିଷ୍ଫଳ ହେବା	a
63	abound	V	ପ୍ରଚୁର ପର୍ଯ୍ୟାପ୍ତ	a
64	about	Adv	ଚତୁର୍ଦିଗରେ	a
65	about-turn	Ns	ଓଲଟିଯିବା	a
66	above	Adv	ଉଚ୍ଚା	a
67	above board	IDM	ବିଶ୍ୱସ୍ତ	a
68	abracadabra	Ns	ଜାଦୁମନ୍ତ୍ର	a
69	abrade	V	ଘଷିବା	a
70	abrasion	Ns	ଘର୍ଷଣ	a
71	abrasive	Adj	ଘାତକ	a
72	abrasively	Adv	ଘଷିକରି	a
73	abrasiveness	Ns	ଖରାପ ବ୍ୟବହାର	a
74	abreast	Adv	କ୍ରମବଦ୍ଧ	a
75	abridge	VT	ସଂକ୍ଷିପ୍ତ କରିବା	a
76	abridgement	Ns	ସଂକ୍ଷେପଣ	a
77	abroad	Adv	ବିଦେଶ ବାହାର	a
78	abrogate	VT	ନାକଚ କରିବା ରଦ୍ଦ କରିବା	a
79	abrupt	Adj	ଆକସ୍ମିକ	a
80	abruptly	Adv	ଆକସ୍ମିକ ରୂପେ	a
81	abruptness	Ns	ଆକସ୍ମିକତା	a
82	abscess	Ns	ବଥ	a
83	abscond	V	ଫେରାର ହେବା	a
84	absence	Ns	ଅନୁପସ୍ଥିତି	a
85	absent	Adj	ଅନୁପସ୍ଥିତ	a
86	absent-minded	Adj	ଆନମନା ଅନ୍ୟମନସ୍କ	a
87	absentee	Ns	ଯିଏ ଅନୁପସ୍ଥିତ ରହିଛି	a
88	absolute	Adj	ଚରମ	a
89	absolute majority	Ns	ପୂର୍ଣ୍ଣ ବହୁମତ	a
90	absolutely	Adv	ପୂର୍ଣ୍ଣତଃ	a
91	absolution	Ns	କ୍ଷମାଦାନ	a
92	absolutism	Ns	{ରାଜନୀତି ସଂବଧିତ}ନିରଂକୁଶତା	a
93	absolve	VT	ବିମୁକ୍ତ କରିବା କ୍ଷମା କରିବା	a
94	absorb	VT	ଶୋଷିନେବା	a
95	absorbed	Adj	ମଗ୍ନ ଶୋଷି ନେଇଥିବା	a
96	absorbing	Adj	ଚିତ୍ତାକର୍ଷକ	a
97	absorption	Ns	ଅବଶୋଷିତ କରିବା	a
98	abstain	V	(କୌଣସି ଜିନିସଠାରୁ) ଦୂରରେ ରହିବା ସଂଯମ କରିବା	a
99	abstainer	Ns	ସଂଯମୀ ଯିଏ (କୌଣସି ଜିନିସଠାରୁ) ଦୂରରେ ରହେ	a
100	abstemious	Adj	ସଂଯମୀ	a
101	abstention	Ns	ତଟସ୍ଥତା	a
102	abstinence	Ns	ଛାଡ଼ିଜେବା ତ୍ୟାଗ କରିବା	a
103	abstract	Ns	ସାରାଂଶ	a
104	abstracted	Adj	ଅନ୍ୟମନସ୍କ	a
105	abstraction	Ns	କପୋଳ କଳ୍ପନା	a
106	abstruse	Adj	ଜଟିଳ କଠିନ	a
107	absurd	Adj	ନିରର୍ଥକ ବେକାର	a
108	absurdity	Ns	ନିରର୍ଥକତା	a
109	abundance	Ns	ଅଧିକତା ଅପାର	a
110	abundant	Adj	ବହୁତ ପ୍ରଚୁର ଢେର	a
111	abuse	Ns	ଗାଳି	a
112	abusive	Adj	ନିନ୍ଦୁକ କୁତ୍ସାରଟନାକାରୀ	a
113	abut	V	ମିଶିବା	a
114	abysmal	Adj	ବହୁତ ଖରାପ	a
115	abyss	Ns	ଗଭୀର ଗାତ	a
116	acacia	Ns	ଆକାଶି ଗଛ ହଳଦିଆ ଓ ଧଳାଫୁଲଯୁକ୍ତ ଗଛ	a
117	academia	Ns	ଶିକ୍ଷା ଓ ଅନୁସନ୍ଧାନର କ୍ଷେତ୍ର	a
118	academic	Adj	ସୈଦ୍ଧାନ୍ତିକ	a
119	academician	Ns	ଶିକ୍ଷା ପରିଷଦର ସଦସ୍ୟ	a
120	academy	Ns	ଶିକ୍ଷା ଓ ଗବେଷଣା ସଂସ୍ଥା	a
121	accede	VT	ସ୍ୱୀକାର କରିବା	a
122	accelerate	VTI	ତ୍ୱରଣ କରିବା ଗତି ବଢ଼ାଇବା	a
123	acceleration	Ns	ତ୍ୱରଣ	a
124	accelerator	Ns	ଗତିବର୍ଦ୍ଧକ	a
125	accent	Ns	ଉଚ୍ଚାରଣ (ସ୍ୱରର ଆରୋହଣ ଓ ଅବରୋହଣ)	a
126	accentuate	VT	ଜୋର ଦେବା	a
127	accept	VT	ସ୍ୱୀକାର କରିବା	a
128	acceptable	Adj	ସ୍ୱୀକାର ଯୋଗ୍ୟ	a
129	acceptance	Ns	ସ୍ୱୀକୃତି	a
130	access	Ns	ପହୁଞ୍ଚ	a
131	accessible	Adj	ପାଆନ୍ତା	a
132	accession	Ns	ଉଚ୍ଚପଦ ପ୍ରାପ୍ତି	a
133	accessory	Ns	ଉପ ସାଧନ	a
134	accident	Ns	ଦୁର୍ଘଟନା	a
135	accidental	Adj	ଆକସ୍ମିକ	a
136	accidentally	Adv	ସଂଯୋଗ ବଶତଃ	a
137	acclaim	V	ବାହାବା କରିବା	a
138	acclamation	Ns	ସମ୍ମାନ	a
139	acclimatize	V	ନୂଆ ପରିସ୍ଥିତି ସହିତ ଖାପ ଖୁଆଇ ଚଳିବା	a
140	accolade	Ns	ସମ୍ମାନ	a
141	accommodate	V	ରଖିବା 	a
142	accommodating	Adj	ସହଯୋଗ କରିବା	a
143	accommodation	Ns	ଆବାସ	a
144	accompaniment	Ns	ସଂଲଗ୍ନ ବସ୍ତୁ	a
145	accompanist	Ns	{ସଂଗୀତ କ୍ଷେତ୍ରରେ)ଯୋଡିଦାର	a
146	accompany	VT	ସାଥିରେ ଯିବା ରହିବା	a
147	accomplice	Ns	ସହ-ଅପରାଧି	a
148	accomplish	VT	ପୂରା କରିବା	a
149	accomplished	Adj	ନିପୁଣ	a
150	accomplishment	Ns	ସମ୍ପନ୍ନତା	a
151	accord	Ns	ଅନୁରୂପ	a
152	accordance	Ns	ଅନୁରୂପ	a
153	according	Prep	ଅନୁସାର	a
154	accordingly	Adv	ତଦନୁସାର	a
155	accordion	Ns	ଏକ ପ୍ରକାର ବାଦ୍ୟଯନ୍ତ୍ର	a
156	accost	V	ସଂବୋଧନ କରିବା	a
157	account	Ns	ଖାତା (ଯେଉଁଥିରେ ହିସାବ ରଖାଯାଏ)	a
158	accountability	Ns	ଜବାଦଦାରୀ	a
159	accountable	Adj	ଉତ୍ତରଦାୟୀ	a
160	accountancy	Ns	ଲେଖାକାମ	a
161	accountant	Ns	ଲେଖାକାରୀ	a
162	accoutrement	Ns	ସୁସଜ୍ଜିତ	a
163	accredit	VT	ପ୍ରମାଣିତ କରିବା	a
164	accreditation	Ns	ମାନ୍ୟତା	a
165	accretion	Ns	ସହବୃଦ୍ଧି	a
166	accrue	V	ବଢ଼ିବା	a
167	accumulate	VT	ଏକାଠି କରିବା	a
168	accumulation	Ns	ସଂଚୟ	a
169	accumulative	Adj	ଏକତ୍ର କରି	a
170	accuracy	Ns	ସଠିକତା	a
171	accurate	Adj	ସଠିକ	a
172	accurately	Adv	ପ୍ରକୃତ	a
173	accursed	Adj	ଘୃଣିତ	a
174	accusation	Ns	ଅଭିଯୋଗ	a
175	accusative	Ns	କର୍ମକାରକ	a
176	accusatory	Adj	ଅଭିଯୋଗାତ୍ମକ	a
177	accuse	VT	ଦୋଷ ଦେବା	a
178	accused	Ns	ଅଭିଯୁକ୍ତ	a
179	accuser	Ns	ଅଭିଯୋଗକର୍ତ୍ତା	a
180	accusing	Adj	ଦୋଷ ଦେବା ସହିତ	a
181	accusingly	Adv	ଆରୋପ ଲଗାଇ	a
182	accustom	VT	ଅଭ୍ୟାସରେ ପକେଇବା	a
183	accustomed	Adj	ଅଭ୍ୟସ୍ତ	a
184	ace	Ns	ଟୀକା{ତାସ ଖେଳରେ)	a
185	acerbic	Adj	ରାଗ{ସ୍ୱଭାବ)	a
186	acerbity	Ns	କଠୋରତା	a
187	acetate	Ns	ଖଟା କରିଦେବା	a
188	acetic	Adj	ଖଟାସ୍ୱାଦରେ ଭରା	a
189	acetic-acid	Ns	ସିରକା ଅମ୍ଳ	a
190	acetylene	Ns	ଏସିଟିଲିନ{ଗ୍ୟାସ)	a
191	ache	Ns	ପୀଡ଼ା	a
192	achievable	Adj	ପ୍ରାପ୍ତ କରିବାଯୋଗ୍ୟ	a
193	achieve	VT	ପୂରା କରିବା	a
194	achievement	Ns	ଉପଲବ୍ଧି	a
195	achivist	Ns	ଐତିହାସିକ ଅଭିଲେଖ ସଂଗ୍ରହକର୍ତା	a
196	acid	Ns	ଅମ୍ଳ ଏସିଡ	a
197	acidic	Adj	ଅମ୍ଳୀୟଖଟା	a
198	acidify	V	ଅମ୍ଳୀୟ କରିବା	a
199	acidity	Ns	ଖଟାପଣ	a
200	acidulous	Adj	ଅମ୍ଳବତ୍	a
201	acknowledge	V	ପ୍ରାପ୍ତି ସ୍ୱୀକାର କରିବା	a
202	acknowledgment	Ns	ସ୍ୱୀକୃତି	a
203	acme	Ns	ପରାକାଷ୍ଠା	a
204	acne	Ns	ମୁଖବ୍ରଣ	a
205	acolyte	Ns	ପାଦ୍ରୀଙ୍କର ସହାୟକ	a
206	aconite	Ns	ଏକ ପ୍ରକାର ବିଷାକ୍ତ ଭୈଷଜ ଉଦ୍ଭିଦ (ଏଥିରୁ ପ୍ରସ୍ତୁତ ଅର୍କ)	a
207	acoustic	Adj	ଧ୍ୱନି ସଂବଧିତ	a
208	acoustics	Ns	ଭଲ ଆବାଜ ଦେଉଥିବା	a
209	acquaint	VT	ପରିଚିତ କରିବା	a
210	acquaintance	Ns	ପରିଚିତ	a
211	acquainted	Adj	ପରିଚିତ	a
212	acquiesce	V	ବିନା ବିରୋଧରେ ସ୍ୱୀକାର କରିବା	a
213	acquiescence	Ns	ଆନନ୍ଦରେ ଗ୍ରହଣ କରିବା	a
214	acquiescent	Adj	ଏକମତ ହେବା	a
215	acquire	VT	ପାଇବା ଅଧିକାର କରିବା	a
216	acquisition	Ns	ପ୍ରାପ୍ତି	a
217	acquisitive	Adj	ଲାଭେଚ୍ଛୁ ପ୍ରାପ୍ତିର ଲାଳସା ରଖିଥିବା	a
218	acquit	VT	ଦୋଷମୁକ୍ତ କରିବା	a
219	acquittal	Ns	ଦୋଷ ରହିତ	a
220	acre	Ns	ମାଣ ବର୍ଗ ଗଜ ଭୂମି	a
221	acreage	Ns	ଅନେକ ମାଣ ଭୂମି	a
222	acrid	Adj	ଉଗ୍ର ସ୍ୱଭାବ	a
223	acrimonious	Adj	ତିକ୍ତ	a
224	acrimony	Ns	ତିକ୍ତତା{ସ୍ୱଭାବରେ} 	a
225	acrobat	Ns	ନଟ	a
226	acrobatic	Adj	ଦୈହିକ କୌଶଳ ପ୍ରଦର୍ଶନ ଶୂନ୍ ଚିତ୍ ମାରିବା ଦଉଡ଼ି ସାହାଯ୍ୟରେ	a
227	acrobatics	Ns	ଶୂନ ଚିତ୍ ମାରିବା	a
228	acronym	Ns	ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ	a
229	across	Adv	ଗୋଟିଏ ମୁଣ୍ଡରୁ ଆର ମୁଣ୍ଡକୁ	a
230	acrostic	Ns	ଅକ୍ଷରବଦ୍ଧ କବିତା	a
231	acrylic	Adj	ଏସିଡରୁ ତିଆରି ହୋଇଥିବା	a
232	act	Ns	କାମ କରିବା	a
233	acting	Adj	କାର୍ଯ୍ୟକାରୀ	a
234	action	Ns	କ୍ରିୟା	a
235	actionable	Adj	ଆଇନଗତ ପଦକ୍ଷେପ ନେବା ଯୋଗ୍ୟ 	a
236	activate	V	କ୍ରିୟାଶୀଳ କରିବା	a
237	activation	Ns	ଉତ୍ପ୍ରେରଣ	a
238	activator	Ns	ଉତ୍ପ୍ରେରକ	a
239	active	Adj	ସକ୍ରିୟ	a
240	active service	Ns	ସକ୍ରିୟ ସେବା	a
241	active voice	Ns	କର୍ତ୍ତୃବାଚ୍ୟ	a
242	actively	Adv	ସକ୍ରିୟ ଭାବରେ	a
243	activity	Ns	କ୍ରିୟା	a
244	actor	Ns	ଅଭିନେତା	a
245	actress	Ns	ଅଭିନେତ୍ରୀ	a
246	actual	Adj	ବାସ୍ତବିକ	a
247	actualist	Ns	ବାସ୍ତବିକତାବାଦୀ	a
248	actuality	Ns	ବାସ୍ତବିକତା	a
249	actually	Adv	ବାସ୍ତବରେ	a
250	actuarial	Adj	ବୀମା ସଂକ୍ରାନ୍ତିୟ	a
251	actuary	Ns	ବୀମା ସଂଗଣକ ବୀମା ସଂକ୍ରାନ୍ତ ହିସାବ ରଖୁଥିବା କର୍ମଚାରୀ	a
252	actuate	V	ସକ୍ରିୟ କରିବା	a
253	acuity	Ns	ତୀକ୍ଷ୍ଣତା	a
254	acumen	Ns	କୁଶାଗ୍ର ବୁଦ୍ଧି	a
255	acupuncture	Ns	ଏକ୍ୟୁପଂଚର{ଚିକିତ୍ସା)	a
256	acute	Adj	ମୁନିଆଁ	a
257	acute angle	Ns	ସୂକ୍ଷ୍ଣ କୋଣ	a
258	acutely	Adv	ଅତି ତୀବ୍ରତାର ସହିତ	a
259	acuteness	Ns	ତୀକ୍ଷ୍ଣତା	a
260	ad hoc	Adj	ତଦର୍ଥ	a
261	ad infinitum	Adv	ଅନ୍ତହୀନ	a
262	ad lib	Adj	ବିନା ପ୍ରସ୍ତୁତିରେ	a
263	adage	Ns	ପ୍ରବାଦ ପ୍ରଚଳିତ କଥା	a
264	adagio	Adj	ଧୀରେ ଧିରେ ଏବଂ ଶୋଭନୀୟ	a
265	adam	Ns	ଆଦି ପୁରୁଷ	a
266	adamant	Adj	ଜିଦ୍ ଖୋର ଏକ ଜିଦିଆ	a
267	adapt	VT	ଅନୁକୂଳ କରିବା ଦେହସୁହା କରିନେବା ପ୍ରୟୋଜନ ଅନୁଯାୟୀ ପରିବର୍ତ୍ତନ କରିବା	a
268	adaptable	Adj	ଖାପଖୁଆଇ ଚଳିବାର ଯୋଗ୍ୟ ପରିବର୍ତ୍ତନସାଧ୍ୟ	a
269	add	V	ଯୋଡ଼ିବା	a
270	add on	Ns	ଯୋଡ଼ା ଯାଇଥିବା	a
271	addendum	Ns	ପରିଶିଷ୍ଟ	a
272	adder	Ns	ବିଷଧର ସାପ	a
273	addict	Ns	(ନିଶା)ଖୋର ଅଭ୍ୟାସରେ ପଡ଼ି ଯାଇଥିବା ଲୋକ	a
274	addicted	Adj	ବଶିଭୂତ	a
275	addiction	Ns	ଅଭ୍ୟାସ	a
276	addictive	Adj	ଅଭ୍ୟାସରେ ପକାଉଥିବା ଜିନିସ	a
277	addition	Ns	ମିଶାଣ	a
278	additional	Adj	ଅତିରିକ୍ତ	a
279	additionally	Adj	ଅତିରିକ୍ତ ଏହାଛଡ଼ା	a
280	additive	Ns	ଯୋଜ୍ୟ{କୌଣସି ବସ୍ତୁକୁ ପରିବର୍ତ୍ତନ ବା ଖରାପ ହେବାରୁ ରୋକିବାପାଇଁ	a
281	addled	Adj	ବ୍ୟାକୁଳ	a
282	address	Ns	ଠିକଣା	a
283	addressee	Ns	ଗ୍ରାହକ	a
284	adduce	V	ପ୍ରମାଣ ଦେବା	a
285	adenoids	Ns	ଆବୁ{ନାକ ଓ ଗଳା ଭିତରେ ଜାତ ହେଉଥିବା}	a
286	adept	Adj	ଦକ୍ଷ	a
287	adequacy	Ns	ପ୍ରଚୁରତା	a
288	adequate	Adj	ପର୍ଯ୍ୟାପ୍ତ	a
289	adequately	Adj	ପର୍ଯ୍ୟାପ୍ତ ଭାବରେ 	a
290	adhere	V	ପାଳନ କରିବା	a
291	adherence	Ns	ଅବଲମ୍ବନ	a
292	adherent	Ns	ପାଳନ କର୍ତ୍ତା ଅନୁଚର	a
293	adhesion	Ns	ଲାଖିରହିବା	a
294	adhesive	Adj	ଅଠାଳିଆ	a
295	adieu	Interj	ନମସ୍କାର{ଯିବା ସମୟରେ}	a
296	adjacent	Adj	ପାଖରେ ପଡ଼ୋଶୀରେ	a
297	adjectival	Adj	ବିଶେଷଣୀୟ	a
298	adjectivally	Adv	ବିଶେଷଣ ଭାବରେ ପ୍ରୟୋଗ କରାଯାଇଥିବା	a
299	adjective	Ns	ବିଶେଷଣ	a
300	adjoin	V	ସଂଯୁକ୍ତ ହେବାକରିବା	a
301	adjourn	V	ସ୍ଥଗିତ କରିବା	a
302	adjournment	Ns	କିଛି ଦିନ ପାଇଁ ବନ୍ଦ ରଖିବାସ୍ଥଗିତ ରଖିବା	a
303	adjudge	V	ନିର୍ଣ୍ଣୟ ନେବା	a
304	adjudicate	V	ମକଦ୍ଦମାର ନିଷ୍ପତ୍ତି ନେବା	a
305	adjudication	Ns	ନିଷ୍ପତ୍ତି ନେବା	a
306	adjudicator	Ns	ପ୍ରତିଯୋଗୀତାର ନ୍ୟାୟାଧିଶ	a
307	adjunct	Ns	ଲଗା ଯାଇଥିବା{କିନ୍ତୁ କମ ମହତ୍ତ୍ୱପୂର୍ଣ୍ଣ}	a
308	adjure	V	ଶପଥ ଦେଇ କଥା ପଚାରିବା	a
309	adjust	V	ଅନୁକୂଳ କରିବା	a
310	adjustable	Adj	ଠିକ କରିବାର ଯୋଗ୍ୟ	a
311	adjustment	Ns	ସୁଧାର	a
312	adjutant	Ns	ସେନାର ଉଚ୍ଚତମ ଅଧିକାରୀ	a
313	adman	Ns	ବିଜ୍ଞାପନ ପ୍ରସ୍ତୁତ କର୍ତ୍ତା	a
314	admin	Ns	ଶାସନ	a
315	administer	V	ପ୍ରବଂଧକରିବା ଶାସନ କରିବା	a
316	administration	Ns	ପ୍ରଶାସନ	a
317	administrative	Adj	ପ୍ରଶାସନିକ ଶାସନ ସଂବଧିତ	a
318	administratively	Adv	ପ୍ରଶାସନିକ ଭାବେ	a
319	administrator	Ns	ଶାସକ	a
320	admirable	Adj	ପ୍ରଶଂସନୀୟ	a
321	admirably	Adv	ଉତ୍ତମ ରୀତିରେ	a
322	admiral	Ns	ଏଡମିରଲ{ନୌ ସେନାପତି ନୈସେନାର ନାୟକ}	a
323	admiralty	Ns	ନୌସେନା ବିଭାଗ	a
324	admiration	Ns	ପ୍ରଶଂସା	a
325	admire	V	ପ୍ରଶଂସା କରିବା	a
326	admirer	Ns	ପ୍ରଶଂସକ	a
327	admiring	Adj	ପ୍ରଶଂସାଯୁକ୍ତ	a
328	admiringly	Adv	ପ୍ରଶଂସା ପୂର୍ବକ	a
329	admissibility	Ns	ସ୍ୱୀକୃତତା	a
330	admissible	Adj	ସ୍ୱୀକାର କରିବା ଯୋଗ୍ୟ	a
331	admission	Ns	ପ୍ରବେଶ	a
332	admit	V	ସ୍ୱୀକାର କରିବା	a
333	admittance	Ns	ପ୍ରବେଶ କରିବାକୁ ଆଜ୍ଞା	a
334	admittedly	Adv	ସ୍ୱୀକାର କରି	a
335	admonish	V	ସାଧାରଣ ଚେତାବନୀ ଦେବା	a
336	admonishment	Ns	ଚେତାବନୀ	a
337	admonition	Ns	ଚେତାବନୀ	a
338	admonitory	Adj	ଯିଏ ଚେତାବନୀ ଦିଏ	a
339	adobe	Ns	ଇଟା	a
340	adolescence	Ns	କୈଶ୍ୱର୍ଯ୍ୟ	a
341	adolescent	Adj	କିଶୋର	a
342	adopt	V	ପାଳିବା	a
343	adoption	Ns	ପୁଅଝିଅ କରିନେବା	a
344	adoptive	Adj	ସବୁ ପରିସ୍ଥିତିରେ ଖାପ ଖୁଆଇ ପାରୁଥିବା	a
345	adorable	Adj	ସୁନ୍ଦର	a
346	adoration	Ns	ଆଦର	a
347	adore	V	ଆରାଧନା କରିବା	a
348	adoring	Adj	ପ୍ରେମଯୁକ୍ତ 	a
349	adorn	V	ସଜେଇବା	a
350	adornment	Ns	ଆଭୂଷଣ	a
351	adrift	Adj	ପହଁରୁଥିବା	a
352	adroit	Adj	ନିପୁଣ	a
353	adroitly	Adv	କୁଶଳ ଭାବରେ	a
354	adroitness	Ns	କୁଶଳତା	a
355	adulation	Ns	ତୋଷାମଦ ଚାଟୁ କରିବା	a
356	adulatory	Adj	ତୋଷାମଦପୂର୍ଣ୍ଣ	a
357	adult	Ns	ପ୍ରୌଢ଼	a
358	adulterate	V	ଅପମିଶ୍ରଣ	a
359	adulterer	Ns	ବ୍ୟଭିଚାରୀ	a
360	adulteress	Ns	ବ୍ୟଭିଚାରିଣୀ	a
361	adulterous	Adj	ଭ୍ରଷ୍ଟ	a
362	adultery	Ns	ବ୍ୟଭିଚାର	a
363	adulthood	Ns	ଯୌବନାବସ୍ଥା	a
364	adumbrate	V	ଅସ୍ପଷ୍ଟ ସୂଚନା ଦେବା ସାମାନ୍ୟ ଆଭାସ ଦେବା	a
365	advance	Ns	ଅଗ୍ରିମ	a
366	advanced	Adj	ଉନ୍ନତ	a
367	advancement	Ns	ଅଗ୍ରଗତି	a
368	advantage	Ns	ଫାଇଦା ଲାଭ	a
369	advantageous	Adj	ଲାଭକର	a
370	advent	Ns	ଆଗମନ	a
371	adventitious	Adj	ଆକସ୍ମିକ	a
372	adventure	Ns	ସାହସିକ ଅଭିଯାନ	a
373	adventure playground	Ns	ମୈଦାନ	a
374	adventurer	Ns	ସାହସୀ ଯୋଦ୍ଧା	a
375	adventurous	Adj	ସାହସିକ	a
376	adverb	Ns	କ୍ରିୟା ବିଶେଷଣ	a
377	adversary	Ns	ବିରୋଧି	a
378	adverse	Adj	ବିପରୀତ	a
379	adversity	Ns	ଦୁଃସ୍ଥିତି	a
380	advert	Ns	ବିଜ୍ଞାପନ	a
381	advertise	V	ବିଜ୍ଞାପନ ଦେବା	a
382	advertisement	Ns	ବିଜ୍ଞାପନ	a
383	advertiser	Ns	ବିଜ୍ଞାପନକାରୀ	a
384	advertising	Ns	ବିଜ୍ଞାପନ ପ୍ରଣାଳୀ	a
385	advice	Ns	ଉପଦେଶ ପରାମର୍ଶ	a
386	advisable	Adj	ଉଚିତ ଯୋଗ୍ୟ	a
387	advise	V	ଉପଦେଶ ବା ପରାମର୍ଶ ଦେବା	a
388	advisedly	Adv	ବିଚାର କରି	a
389	adviser	Ns	ଉପଦେଷ୍ଟା	a
390	advisory	Adj	ଉପଦେଷ୍ଟା	a
391	advocacy	Ns	ପକ୍ଷର ସମର୍ଥନ	a
392	advocate	V	ଓକିଲାତି (କୌଣସି) ପକ୍ଷକୁ ସମର୍ଥନ କରି	a
393	adze	Ns	କୁରାଢ଼ୀ	a
394	aegis	Ns	ରକ୍ଷା	a
395	aeon(also eon)	Ns	ଯୁଗ କଳ୍ପ	a
396	aerate	V	ପବନ ପୂରେଇବା	a
397	aerial	Ns	ବେତାର ସଂକେତ ଧରୁଥିବା ଯନ୍ତ୍ର	a
398	aero	Comb form	ବାୟୁ	a
399	aerobatic	Adj	ଶୂନ୍ୟକୁସ୍ତିଯୁକ୍ତ କ୍ରୀଡ଼ା	a
400	aerobatics	Ns	ଶୂନ୍ୟରେ କୁସ୍ତି ପ୍ରଦର୍ଶନ	a
401	aerobics	Ns	ବ୍ୟାୟାମ	a
402	aerodrome	Ns	ବିମାନ ବନ୍ଦର	a
403	aeronautics	Ns	ବିମାନ ବିଦ୍ୟା	a
404	aeroplane	Ns	ଉଡ଼ା ଜାହାଜ	a
405	aerospace	Ns	ଉଡ଼ା ଜାହାଜ ତିଆରି କୌଶଳ	a
406	aesthete	Ns	ଶହେନ୍ଦର୍ଯ୍ୟ ପ୍ରେମୀ	a
407	aesthetic	Adj	କଳାତ୍ମକ	a
408	aesthetics	Ns	ଶହେନ୍ଦର୍ଯ୍ୟ ଶାସ୍ତ୍ର	a
